User Class	Origin	Destination	Interval	Type	Probability of Choice	Vehicles Generated	Vehicles Arrived	Cost	Distance	Travel Time	Travel Time Deviation	Speed
163: Car	61889: I27	60690: I3	1970-01-02T14:00:00	RC		1 (100.00)	0	0	6367.48	0	0	
163: Car	61889: I27	60715: I4	1970-01-02T14:00:00	RC		2 (100.00)	0	0	5491.94	0	0	
163: Car	62116: E19	62038: I30	1970-01-02T14:00:00	RC		3 (100.00)	0	0	5917.38	0	0	
163: Car	61889: I27	60796: I6	1970-01-02T14:00:00	Mixed		8 (100.00)	0	0	7530.27	0	0	
163: Car	61889: I27	61034: I8	1970-01-02T14:00:00	RC		4 (100.00)	0	0	4012.93	0	0	
163: Car	61889: I27	61185: I12	1970-01-02T14:00:00	Mixed		7 (100.00)	0	0	3079.55	0	0	
163: Car	61889: I27	60941: I7	1970-01-02T14:00:00	RC		1 (100.00)	0	0	6484.62	0	0	
163: Car	61889: I27	60609: I2	1970-01-02T14:00:00	RC		5 (100.00)	0	0	5348.41	0	0	
163: Car	61770: I26	62105: E6	1970-01-02T14:00:00	RC		78 (100.00)	33	0	6073.12	397.512	39.4381	55.0002
163: Car	61770: I26	62106: E5	1970-01-02T14:00:00	Mixed		98 (100.00)	29	0	4830.62	316.064	25.9674	55.0213
163: Car	61889: I27	60509: I1	1970-01-02T14:00:00	RC		11 (100.00)	0	0	3692.41	0	0	
163: Car	61770: I26	62107: E13	1970-01-02T14:00:00	RC		134 (100.00)	26	0	8179.19	374.103	23.2702	78.7084
163: Car	61770: I26	62111: E4	1970-01-02T14:00:00	RC		649 (100.00)	244	0	1708.8	122.299	9.50338	50.3003
163: Car	61770: I26	62116: E19	1970-01-02T14:00:00	RC		4 (100.00)	1	0	4317.25	313.804	0	49.5281
163: Car	61770: I26	62113: E21	1970-01-02T14:00:00	RC		495 (100.00)	191	0	1775.32	3423.14	4852.99	1.86704
163: Car	61770: I26	62115: E20	1970-01-02T14:00:00	RC		291 (100.00)	31	0	3252.91	1164.75	3848.58	10.054
163: Car	61889: I27	61340: I17	1970-01-02T14:00:00	RC		5 (100.00)	0	0	3224.79	0	0	
163: Car	61889: I27	62101: E12	1970-01-02T14:00:00	RC		20 (100.00)	0	0	7286.47	0	0	
163: Car	61889: I27	62105: E6	1970-01-02T14:00:00	RC		8 (100.00)	0	0	8641.67	0	0	
163: Car	61889: I27	61369: I18	1970-01-02T14:00:00	RC		4 (100.00)	0	0	1500.91	0	0	
163: Car	61889: I27	62106: E5	1970-01-02T14:00:00	Mixed		10 (100.00)	0	0	7866.7	0	0	
163: Car	61889: I27	62111: E4	1970-01-02T14:00:00	Mixed		85 (100.00)	0	0	4989.75	0	0	
163: Car	61889: I27	62113: E21	1970-01-02T14:00:00	RC		265 (100.00)	262	0	1686.56	125.386	9.1731	48.4233
163: Car	61889: I27	62107: E13	1970-01-02T14:00:00	RC		29 (100.00)	0	0	6527.24	0	0	
163: Car	61889: I27	62038: I30	1970-01-02T14:00:00	Mixed		10 (100.00)	0	0	4503.13	0	0	
163: Car	61889: I27	61444: I19	1970-01-02T14:00:00	RC		10 (100.00)	0	0	1670.71	0	0	
163: Car	61889: I27	61479: I20	1970-01-02T14:00:00	RC		9 (100.00)	0	0	2103.63	0	0	
163: Car	61889: I27	62025: I29	1970-01-02T14:00:00	RC		1 (100.00)	0	0	3066.84	0	0	
163: Car	61889: I27	61551: I21	1970-01-02T14:00:00	RC		3 (100.00)	0	0	2423.55	0	0	
163: Car	61889: I27	61576: I22	1970-01-02T14:00:00	RC		1 (100.00)	0	0	522.239	0	0	
163: Car	61889: I27	61770: I26	1970-01-02T14:00:00	RC		7 (100.00)	7	0	2726.33	225.237	63.2645	43.5754
163: Car	61889: I27	61625: I23	1970-01-02T14:00:00	RC		2 (100.00)	0	0	359.494	0	0	
163: Car	61889: I27	61634: I24	1970-01-02T14:00:00	RC		11 (100.00)	11	0	1046.68	88.8733	5.93385	42.3981
163: Car	61770: I26	62101: E12	1970-01-02T14:00:00	RC		83 (100.00)	16	0	9195.04	445.848	27.0803	74.2453
163: Car	61770: I26	60690: I3	1970-01-02T14:00:00	RC		7 (100.00)	1	0	3113.82	262.954	0	42.6301
163: Car	61770: I26	60715: I4	1970-01-02T14:00:00	RC		14 (100.00)	3	0	3772.46	263.13	9.56049	51.6126
163: Car	61770: I26	62038: I30	1970-01-02T14:00:00	RC		24 (100.00)	22	0	1875.85	136.554	10.8555	49.4534
163: Car	61770: I26	60796: I6	1970-01-02T14:00:00	RC		16 (100.00)	6	0	6601.39	343.683	25.3526	69.1481
163: Car	61770: I26	61034: I8	1970-01-02T14:00:00	RC		11 (100.00)	3	0	5588.16	5671.72	9189.36	3.54696
163: Car	61770: I26	61153: I10	1970-01-02T14:00:00	RC		1 (100.00)	0	0	7121.83	0	0	
