	Delay Time - Replication 27989 - Car (sec/km)
2:10:00 PM	7.73 (12.48)
2:20:00 PM	14.61 (22.85)
2:30:00 PM	17.22 (28.23)
2:40:00 PM	14.91 (19.96)
2:50:00 PM	14.46 (18.26)
3:00:00 PM	10.30 (10.37)
3:10:00 PM	10.75 (18.04)
3:20:00 PM	18.69 (30.78)
3:30:00 PM	25.05 (45.27)
3:40:00 PM	33.92 (60.84)
3:50:00 PM	39.72 (72.22)
4:00:00 PM	40.87 (77.73)
4:10:00 PM	47.59 (94.87)
4:20:00 PM	53.28 (103.17)
4:30:00 PM	75.10 (132.36)
4:40:00 PM	106.41 (158.31)
4:50:00 PM	105.48 (161.62)
5:00:00 PM	110.38 (172.72)
5:10:00 PM	122.74 (192.10)
5:20:00 PM	145.74 (215.43)
5:30:00 PM	138.66 (218.49)
5:40:00 PM	166.97 (233.70)
5:50:00 PM	200.55 (302.64)
6:00:00 PM	219.72 (301.39)
6:10:00 PM	211.92 (282.88)
6:20:00 PM	205.92 (266.13)
6:30:00 PM	213.46 (279.54)
6:40:00 PM	239.81 (294.51)
6:50:00 PM	232.21 (298.28)
7:00:00 PM	235.15 (306.30)
7:10:00 PM	2674.04 (4320.17)
7:20:00 PM	494.96 (899.43)
7:30:00 PM	280.04 (322.91)
7:40:00 PM	290.00 (335.83)
7:50:00 PM	321.63 (351.06)
8:00:00 PM	300.55 (350.63)
Aggregated	185.51
