--------Nodes-------
Total number of Nodes: 2013
nodetype , number of sections
0.0, 585
1.0, 1259
2.0, 35
3.0, 134

--------Sections-------
Total number of Sections: 5626
rd_type , number of sections
175 = Motorway, 177 = Primary, 179 = Residential, 180 = Secondary, 182.0 = Tertiary, 184.0 = Trunk, 185.0 = Unclassified
175.0, 111
177.0, 373
179.0, 2916
180.0, 393
182.0, 189
184.0, 51
185.0, 1593

speed (km/h), number of sections
16.0, 4
40.0, 44
50.0, 5116
56.0, 176
64.0, 70
72.0, 102
88.0, 2
90.0, 12
104.0, 36
120.0, 64

capacity (veh/h), number of sections
500.0, 1591
700.0, 2995
800.0, 146
900.0, 138
1000.0, 2
1400.0, 91
1600.0, 216
1800.0, 183
2100.0, 58
2400.0, 44
2700.0, 44
3200.0, 3
3500.0, 1
3600.0, 31
4000.0, 2
4200.0, 22
4500.0, 3
4800.0, 2
5400.0, 1
6000.0, 3
6300.0, 24
7200.0, 1
8400.0, 14
10500.0, 9
12600.0, 2

func_class , number of sections
1, 111
2, 51
3, 955
5, 4509

Number of stop signs: 313
Number of traffic lights: 123
